date,count,mean,median,min,max
2014-12-10,46,103.47826086956522,100.0,60,130
2014-12-11,342,164.80116959064327,110.0,60,820
2014-12-12,319,155.75548589341693,108.0,60,784
2014-12-13,355,203.33239436619718,116.0,60,805
2014-12-14,347,202.98847262247838,115.0,60,837
2014-12-15,351,203.41310541310543,118.0,60,810
2014-12-16,336,200.66666666666666,118.0,61,819
2014-12-17,318,195.75157232704402,113.0,64,821
2014-12-18,345,202.83188405797102,118.0,61,812
2014-12-19,340,202.32647058823528,115.0,60,806
2014-12-20,339,177.51622418879057,113.0,61,810
2014-12-21,352,189.3068181818182,116.0,63,816
2014-12-22,364,197.53846153846155,116.0,60,810
2014-12-23,334,195.74550898203591,120.0,60,798
2014-12-24,355,192.65633802816902,113.0,60,833
2014-12-25,350,203.27714285714285,116.0,60,806
2014-12-26,344,200.97093023255815,116.0,60,775
2014-12-27,347,198.69740634005763,116.0,60,795
2014-12-28,343,203.51020408163265,118.0,60,799
2014-12-29,357,209.63025210084032,116.0,60,795
2014-12-30,346,200.364161849711,113.0,60,790
2014-12-31,399,206.9248120300752,110.0,60,823
2015-01-01,15,147.86666666666667,147.0,143,153
2015-01-02,13,147.6153846153846,148.0,142,153
2015-01-03,4,146.0,146.5,141,150
2015-01-06,10,145.4,147.0,138,149
2015-01-07,15,146.2,146.0,140,153
2015-01-08,15,145.8,146.0,138,153
2015-01-09,11,144.54545454545453,143.0,133,153
2015-01-10,20,143.15,143.5,129,153
2015-01-11,24,143.33333333333334,142.0,136,153
2015-01-12,27,140.92592592592592,140.0,128,153
2015-01-13,19,140.3684210526316,141.0,135,147
2015-01-14,15,141.66666666666666,141.0,132,152
2015-01-15,19,144.52631578947367,146.0,136,153
2015-01-16,21,143.57142857142858,144.0,126,153
2015-01-17,20,143.35,142.5,133,153
2015-01-18,22,145.36363636363637,146.0,136,152
2015-01-19,16,145.625,146.0,137,150
2015-01-20,22,139.0909090909091,141.0,127,147
2015-01-21,24,137.91666666666666,138.0,127,153
2015-01-22,27,136.66666666666666,139.0,123,146
2015-01-23,19,138.42105263157896,137.0,131,149
2015-01-24,25,141.32,139.0,132,153
2015-01-25,21,143.0952380952381,144.0,134,152
2015-01-26,21,142.85714285714286,145.0,116,153
2015-01-27,25,142.48,144.0,128,149
2015-01-28,21,143.14285714285714,143.0,131,152
2015-01-29,23,140.0,145.0,52,150
2015-01-30,17,144.58823529411765,147.0,133,150
2015-01-31,11,147.8181818181818,149.0,134,153
2015-02-01,13,147.84615384615384,147.0,139,153
2015-02-02,10,148.1,149.5,140,152
2015-02-03,11,147.9090909090909,147.0,145,153
2015-02-04,15,147.26666666666668,147.0,141,153
2015-02-05,25,144.52,147.0,128,153
2015-02-06,24,141.95833333333334,142.5,130,153
2015-02-07,24,140.16666666666666,140.5,130,149
2015-02-08,28,141.0,142.0,131,150
